Filename,Clean_filepath,Noisy_filepath,Length (s),Sample Rate (Hz)
p251_353,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p251_353.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p251_353.wav,3.408916666666667,48000
p293_068,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p293_068.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p293_068.wav,3.58,48000
p283_152,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p283_152.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p283_152.wav,2.56,48000
p237_039,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p237_039.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p237_039.wav,2.43,48000
p312_214,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p312_214.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p312_214.wav,3.25,48000
p310_236,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p310_236.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p310_236.wav,2.816375,48000
p263_292,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p263_292.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p263_292.wav,2.2507083333333333,48000
p310_362,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p310_362.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p310_362.wav,2.78,48000
p285_362,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p285_362.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p285_362.wav,1.6110416666666667,48000
p306_293,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p306_293.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p306_293.wav,5.700020833333333,48000
p305_324,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p305_324.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p305_324.wav,4.48,48000
p314_249,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p314_249.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p314_249.wav,3.28,48000
p376_170,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p376_170.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p376_170.wav,2.4928958333333333,48000
p241_017,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p241_017.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p241_017.wav,3.425895833333333,48000
p295_403,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p295_403.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p295_403.wav,2.4768125,48000
p283_354,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p283_354.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p283_354.wav,2.3381041666666667,48000
p283_302,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p283_302.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p283_302.wav,2.505708333333333,48000
p333_066,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p333_066.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p333_066.wav,2.6199791666666665,48000
p333_154,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p333_154.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p333_154.wav,2.7386666666666666,48000
p281_048,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p281_048.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p281_048.wav,2.517333333333333,48000
p360_248,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p360_248.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p360_248.wav,2.0641458333333333,48000
p376_031,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p376_031.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p376_031.wav,4.12,48000
p306_071,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p306_071.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p306_071.wav,3.8,48000
p260_301,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p260_301.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p260_301.wav,1.6695208333333333,48000
p246_141,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p246_141.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p246_141.wav,4.84325,48000
p247_366,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p247_366.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p247_366.wav,2.7432916666666665,48000
p304_057,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p304_057.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p304_057.wav,2.9794375,48000
p312_282,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p312_282.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p312_282.wav,2.923770833333333,48000
p326_060,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p326_060.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p326_060.wav,2.9842291666666667,48000
p247_200,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p247_200.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p247_200.wav,2.6093125,48000
p312_259,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p312_259.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p312_259.wav,1.82,48000
p308_127,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p308_127.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p308_127.wav,2.8615,48000
p310_116,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p310_116.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p310_116.wav,3.1203541666666665,48000
p255_070,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p255_070.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p255_070.wav,2.85,48000
p305_025,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p305_025.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p305_025.wav,4.34,48000
p307_150,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p307_150.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p307_150.wav,2.86,48000
p313_002,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p313_002.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p313_002.wav,3.73,48000
p361_245,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p361_245.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p361_245.wav,2.66,48000
p339_252,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p339_252.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p339_252.wav,2.2741666666666664,48000
p341_118,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p341_118.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p341_118.wav,3.59,48000
p343_326,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p343_326.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p343_326.wav,2.26275,48000
p336_141,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p336_141.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p336_141.wav,2.3213333333333335,48000
p323_230,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p323_230.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p323_230.wav,3.3745833333333333,48000
p314_105,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p314_105.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p314_105.wav,2.87,48000
p272_185,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p272_185.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p272_185.wav,2.9232291666666668,48000
p292_272,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p292_272.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p292_272.wav,2.4632916666666667,48000
p313_369,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p313_369.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p313_369.wav,3.38,48000
p302_171,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p302_171.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p302_171.wav,2.61,48000
p301_258,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p301_258.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p301_258.wav,4.08,48000
p283_143,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p283_143.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p283_143.wav,2.073729166666667,48000
p323_201,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p323_201.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p323_201.wav,2.501333333333333,48000
p310_218,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p310_218.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p310_218.wav,2.5658333333333334,48000
p341_353,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p341_353.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p341_353.wav,2.60675,48000
p302_207,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p302_207.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p302_207.wav,2.69,48000
p285_336,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p285_336.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p285_336.wav,1.7856458333333334,48000
p299_397,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p299_397.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p299_397.wav,2.7998541666666665,48000
p363_343,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p363_343.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p363_343.wav,2.7000208333333333,48000
p234_120,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p234_120.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p234_120.wav,2.9478333333333335,48000
p341_324,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p341_324.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p341_324.wav,2.948375,48000
p293_277,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p293_277.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p293_277.wav,3.42,48000
p360_337,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p360_337.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p360_337.wav,2.1777291666666665,48000
p271_120,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p271_120.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p271_120.wav,1.6051458333333333,48000
p247_250,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p247_250.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p247_250.wav,2.9965208333333333,48000
p271_356,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p271_356.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p271_356.wav,1.497875,48000
p307_356,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p307_356.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p307_356.wav,2.97,48000
p293_045,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p293_045.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p293_045.wav,3.4,48000
p343_374,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p343_374.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p343_374.wav,2.7655416666666666,48000
p312_389,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p312_389.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p312_389.wav,1.9515833333333332,48000
p295_164,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p295_164.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p295_164.wav,2.46,48000
p248_019,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p248_019.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p248_019.wav,8.679979166666667,48000
p339_179,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p339_179.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p339_179.wav,2.9188125,48000
p260_119,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p260_119.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p260_119.wav,1.87,48000
p247_100,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p247_100.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p247_100.wav,2.1542916666666665,48000
p299_349,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p299_349.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p299_349.wav,2.5278125,48000
p302_198,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p302_198.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p302_198.wav,2.91,48000
p360_277,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p360_277.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p360_277.wav,2.4236666666666666,48000
p361_392,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p361_392.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p361_392.wav,2.2910833333333334,48000
p360_415,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p360_415.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p360_415.wav,2.74475,48000
p245_278,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p245_278.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p245_278.wav,2.0498541666666665,48000
p361_031,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p361_031.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p361_031.wav,2.719291666666667,48000
p298_011,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p298_011.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p298_011.wav,6.23,48000
p241_197,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p241_197.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p241_197.wav,1.7224375,48000
p293_178,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p293_178.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p293_178.wav,2.7768125,48000
p275_082,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p275_082.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p275_082.wav,2.5779375,48000
p271_016,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p271_016.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p271_016.wav,6.848979166666667,48000
p347_119,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p347_119.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p347_119.wav,3.246125,48000
p260_188,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p260_188.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p260_188.wav,1.8075833333333333,48000
p266_233,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p266_233.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p266_233.wav,2.5726875,48000
p313_150,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p313_150.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p313_150.wav,3.3,48000
p285_136,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p285_136.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p285_136.wav,3.26,48000
p308_218,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p308_218.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p308_218.wav,2.67,48000
p305_227,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p305_227.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p305_227.wav,2.589541666666667,48000
p251_004,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p251_004.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p251_004.wav,4.3516875,48000
p364_207,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p364_207.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p364_207.wav,2.8155,48000
p347_326,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p347_326.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p347_326.wav,3.3730208333333334,48000
p264_491,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p264_491.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p264_491.wav,2.87,48000
p249_131,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p249_131.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p249_131.wav,3.53,48000
p334_125,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p334_125.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p334_125.wav,2.5689166666666665,48000
p263_137,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p263_137.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p263_137.wav,2.7007708333333333,48000
p306_232,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p306_232.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p306_232.wav,4.53,48000
p351_408,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p351_408.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p351_408.wav,3.1,48000
p303_292,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p303_292.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p303_292.wav,3.05,48000
p246_241,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p246_241.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p246_241.wav,3.596604166666667,48000
p292_348,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p292_348.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p292_348.wav,2.65,48000
p314_173,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p314_173.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p314_173.wav,2.33,48000
p245_033,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p245_033.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p245_033.wav,2.0193125,48000
p376_168,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p376_168.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p376_168.wav,2.19,48000
p345_086,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p345_086.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p345_086.wav,2.841645833333333,48000
p334_145,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p334_145.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p334_145.wav,2.22,48000
p263_015,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p263_015.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p263_015.wav,5.231645833333333,48000
p283_440,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p283_440.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p283_440.wav,1.9992291666666666,48000
p312_296,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p312_296.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p312_296.wav,2.304375,48000
p275_158,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p275_158.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p275_158.wav,3.4430833333333335,48000
p363_087,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p363_087.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p363_087.wav,2.7814791666666667,48000
p303_237,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p303_237.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p303_237.wav,2.4300208333333333,48000
p237_316,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p237_316.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p237_316.wav,3.3074791666666665,48000
p323_413,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p323_413.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p323_413.wav,4.558166666666667,48000
p263_228,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p263_228.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p263_228.wav,2.274020833333333,48000
p361_367,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p361_367.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p361_367.wav,2.0905416666666667,48000
p339_224,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p339_224.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p339_224.wav,1.6008125,48000
p361_263,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p361_263.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p361_263.wav,2.3,48000
p333_046,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p333_046.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p333_046.wav,2.56,48000
p312_373,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p312_373.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p312_373.wav,2.7592708333333333,48000
p334_057,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p334_057.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p334_057.wav,2.0911458333333335,48000
p341_031,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p341_031.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p341_031.wav,4.28,48000
